ID NAME X Y Z 
1.0 LINE1_01 39.51 -62.4 1.6 
2.0 LINE1_02 39.51 -52.0 1.6 
3.0 LINE1_03 39.51 -41.6 1.6 
4.0 LINE1_04 39.51 -20.8 1.6 
5.0 LINE1_05 39.51 -10.4 1.6 
6.0 LINE1_06 39.51 0.0 1.6 
7.0 LINE1_07 39.51 10.4 1.6 
8.0 LINE1_08 39.51 20.8 1.6 
9.0 LINE1_09 39.51 31.2 1.6 
10.0 LINE1_10 39.51 52.0 1.6 
13.0 LINE2_01 70.15 -72.8 1.6 
14.0 LINE2_02 70.15 -52.0 1.6 
15.0 LINE2_03 70.15 -31.2 1.6 
16.0 LINE2_04 70.15 -10.4 1.6 
17.0 LINE2_05 70.15 0.0 1.6 
18.0 LINE2_06 70.15 20.8 1.6 
19.0 LINE2_07 70.15 31.2 1.6 
22.0 LINE3_01 100.79 -72.8 1.6 
23.0 LINE3_02 100.79 -52.0 1.6 
24.0 LINE3_03 100.79 -31.2 1.6 
25.0 LINE3_04 100.79 -10.4 1.6 
26.0 LINE3_05 100.79 10.4 1.6 
31.0 LINE4_01 131.43 -72.8 1.6 
32.0 LINE4_02 131.43 -52.0 1.6 
33.0 LINE4_03 131.43 -31.2 1.6 
41.0 T8 70.15 10.4 16.0 
42.0 T7 70.15 10.4 12.0 
43.0 T6 70.15 10.4 10.0 
44.0 T5 70.15 10.4 8.0 
45.0 T4 70.15 10.4 6.0 
46.0 T3 70.15 10.4 4.0 
47.0 T2 70.15 10.4 2.0 
48.0 T1 70.15 10.4 1.0 
55.0 C1 131.43 -62.4 1.0 
56.0 C2 131.43 -62.4 2.0 
57.0 C3 131.43 -62.4 3.0 
58.0 C4 131.43 -62.4 4.0 
61.0 B1 39.51 41.6 1.0 
62.0 B2 39.51 41.6 2.0 
63.0 B3 39.51 41.6 3.0 
64.0 B4 39.51 41.6 4.0 
65.0 B5 39.51 41.6 5.0 
66.0 B6 39.51 41.6 5.9 
67.0 D1 39.51 -41.6 1.0 
68.0 D2 39.51 -41.6 2.0 
69.0 D3 39.51 -41.6 3.0 
72.0 D6 39.51 -41.6 5.9 
